entry_ts,exit_ts,entry_price,exit_price,position,pnl,pnl_pct,regime,strategy,exit_reason,mae,mfe,pnl_R,reward_multiple,stop_distance_pct,take_profit_multiple,hold_time_hours,trade_type
2024-11-18 05:00:00+00:00,2024-11-18 14:00:00+00:00,0.7571,0.7393,19.81244221371021001188746533,-0.3673088099326376964733852860,-2.448725399550917976489235240,ranging,range_rsi_bb,signal_exit,-5.283317923656056003169990754,3.539823008849557522123893805,-0.37290234510927683,1.5,6.566666666666666,1.5,9.0,long
2024-11-20 01:00:00+00:00,2024-11-21 12:00:00+00:00,0.7706,0.7963,19.39385372243719743774849755,0.4829787149474592338304572584,3.231728523228652997664157799,ranging,range_rsi_bb,signal_exit,-2.673241629898780171295094731,10.09602906825849987023098884,0.49214139947644464,1.5,6.566666666666666,1.5,35.0,long
2024-11-21 23:00:00+00:00,2024-11-22 11:00:00+00:00,0.8218,0.9139,18.27372899215408034875098661,1.666310079251461186089242340,11.09589924555853005597468970,ranging,trending_ema_crossover,take_profit,-1.155999026527135556096373814,11.65733755171574592358238014,1.689730849577441,1.5,6.566666666666666,1.5,12.0,long
2024-11-24 11:00:00+00:00,2024-11-25 03:00:00+00:00,1.0038,1.0128,15.20950089424182347929562377,0.1214813255424882924938300062,0.7956963538553496712492528394,ranging,range_rsi_bb,signal_exit,-6.714484957162781430563857342,3.486750348675034867503486750,0.12117203358203295,1.5,6.566666666666666,1.5,16.0,long
2024-11-25 08:00:00+00:00,2024-11-25 14:00:00+00:00,1.0665,0.9844,14.33241368633034754091985151,-1.190799991680545127228801311,-7.790379746835443037974683543,ranging,range_rsi_bb,stop_loss,-7.829348335677449601500234412,0.6094702297233942803563056728,-1.1863522457109812,1.5,6.566666666666666,1.5,6.0,long
2024-11-25 21:00:00+00:00,2024-11-26 12:00:00+00:00,0.966,0.8964,15.63861200592053197029679239,-1.102465847414176189990830795,-7.297763975155279503105590061,ranging,trend_macd,stop_loss,-9.492753623188405797101449275,2.474120082815734989648033126,-1.11133461550588,1.5,6.566666666666666,1.5,15.0,long
2024-11-26 17:00:00+00:00,2024-11-27 06:00:00+00:00,0.9253,0.9611,16.14776755712429207263382344,0.5625704591458974990892825115,3.765146438992759105155084837,trending_down,range_rsi_bb,stop_loss,-3.512374365070787852588349724,5.263157894736842105263157895,0.5733725541613339,1.5,6.566666666666666,1.5,13.0,long
2024-11-27 09:00:00+00:00,2024-11-28 18:00:00+00:00,0.9916,1.0024,15.15320178446852771245610044,0.1484650098035088471155598897,0.9880597014925373134328358208,ranging,range_rsi_bb,signal_exit,-2.248890681726502622025010085,5.072609923356192012908430819,0.1504659443897265,1.5,6.566666666666666,1.5,33.0,long
2024-11-28 22:00:00+00:00,2024-12-01 11:00:00+00:00,1.0386,1.0715,14.48891261404729290076911534,0.4611603551362042620921297876,3.064558058925476603119584056,ranging,range_rsi_bb,signal_exit,-1.270941652224147891392258810,10.70672058540342769112266513,0.4666839683642858,1.5,6.566666666666666,1.5,61.0,long
2024-12-01 20:00:00+00:00,2024-12-02 14:00:00+00:00,1.1165,1.133,13.53995404766677030546585102,0.2080684738504952592840937326,1.376354679802955665024630542,ranging,range_rsi_bb,signal_exit,-5.356023287057769816390506046,6.681594267801164352888490820,0.20959715936085618,1.5,6.566666666666666,1.5,18.0,long
2024-12-04 16:00:00+00:00,2024-12-05 04:00:00+00:00,1.1465,1.2065,13.21288178394899549493697054,0.7768315651646052666315767774,5.128085477540340165721761885,ranging,range_rsi_bb,signal_exit,-2.852158744003488879197557785,8.094199738334060183166157872,0.7809267224680722,1.5,6.566666666666666,1.5,12.0,long
2024-12-05 23:00:00+00:00,2024-12-06 06:00:00+00:00,1.1597,1.1984,13.16296775034251455112526795,0.4936323513862448436904793486,3.233732861947055272915409158,ranging,range_rsi_bb,signal_exit,-0.6898335776493920841596964732,3.544020005173751832370440631,0.4924466287229018,1.5,6.566666666666666,1.5,7.0,long
2024-12-06 12:00:00+00:00,2024-12-06 14:00:00+00:00,1.1418,1.1807,13.43417284356292770318229561,0.5067275957382031389146439628,3.303494482396216500262743037,ranging,range_rsi_bb,signal_exit,-0.7181643019793308810649851112,3.476966193729199509546330356,0.5030702257456168,1.5,6.566666666666666,1.5,2.0,long
2024-12-06 18:00:00+00:00,2024-12-07 15:00:00+00:00,1.2195,1.2194,12.64054751303065299084111663,-0.01667793838869264355611576928,-0.1081918819188191881918819188,ranging,range_rsi_bb,signal_exit,-2.574825748257482574825748257,1.476014760147601476014760148,-0.01647592110438871,1.5,6.566666666666666,1.5,21.0,long
2024-12-09 08:00:00+00:00,2024-12-09 20:00:00+00:00,1.1224,1.0433,13.73186564627813384336896326,-1.100517028049362364049271833,-7.140351033499643620812544547,ranging,trend_macd,stop_loss,-7.991803278688524590163934426,2.548111190306486101211689237,-1.087363101548169,1.5,6.566666666666666,1.5,12.0,long
2024-12-10 07:00:00+00:00,2024-12-10 12:00:00+00:00,1.0152,0.9763,15.01927546018043052717684554,-0.5989131340327929018308620458,-3.927925531914893617021276596,trending_down,trend_macd,stop_loss,-4.472025216706067769897557132,2.226162332545311268715524035,-0.5981612485149584,1.5,6.566666666666666,1.5,5.0,long
2024-12-10 20:00:00+00:00,2024-12-11 01:00:00+00:00,0.9844,0.9751,15.39793933062805174310778575,-0.1582153664161362944656068094,-1.043793173506704591629418936,trending_down,trend_macd,stop_loss,-1.279967492889069483949613978,4.469727752945956928078017066,-0.15895327515330526,1.5,6.566666666666666,1.5,5.0,long
2024-12-13 06:00:00+00:00,2024-12-13 17:00:00+00:00,1.0856,1.1041,13.94067720348916146992028673,0.2425106265641771040145863159,1.602422623434045689019896832,ranging,range_rsi_bb,signal_exit,-0.7553426676492262343404568902,4.089904200442151805453205601,0.2440237497615298,1.5,6.566666666666666,1.5,11.0,long
